cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220823-0000470,2023-10-08 09:36:31.233,2227.05,151.61,31995.19
20220823-0000471,2023-10-08 09:38:02.971,2226.04,144.69,32025.35
20220823-0000472,2023-10-08 09:39:23.217,2226.04,154.32,31591.44
20220823-0000474,2023-10-08 09:41:50.231,2227.05,154.86,31909.62
20220823-0000474,2023-10-08 09:41:50.231,2215.91,139.37,32228.72
20220823-0000475,2023-10-08 09:43:03.226,2225.03,157.59,31047.51
20220823-0000476,2023-10-08 09:44:18.218,2225.03,145.85,31543.18
20220823-0000477,2023-10-08 09:45:31.231,2226.04,149.83,31775.37
20220823-0000478,2023-10-08 09:46:51.228,2225.03,153.63,31657.66
20220823-0000480,2023-10-08 09:48:04.714,2225.03,138.66,31396.28
20220823-0000481,2023-10-08 09:49:25.720,2224.02,143.92,31932.08
20220823-0000482,2023-10-08 09:50:38.719,2227.05,148.42,33725.81
20220823-0000482,2023-10-08 09:50:38.719,2227.05,153.01,32119.81
20220823-0000483,2023-10-08 09:51:59.725,2227.05,148.63,31856.54
20220823-0000484,2023-10-08 09:53:13.724,2225.03,141.94,32064.61
20220823-0000485,2023-10-08 09:54:34.722,2223.01,154.26,31501.96
20220823-0000486,2023-10-08 09:55:47.722,2225.03,162.37,31775.82
20220823-0000487,2023-10-08 09:57:05.715,2223.01,169.26,31752.0
20220823-0000488,2023-10-08 09:58:56.713,2223.01,145.78,31689.49
20220823-0000489,2023-10-08 10:00:10.710,2227.05,154.28,31613.49
20220823-0000491,2023-10-08 10:02:56.715,2225.03,142.5,31856.69
20220823-0000492,2023-10-08 10:04:28.171,2226.04,163.9,31998.33
20220823-0000495,2023-10-08 10:08:59.216,2224.02,158.45,32000.16
20220823-0000497,2023-10-08 10:14:33.205,2226.04,151.52,31776.3
20220823-0000498,2023-10-08 10:16:23.207,2224.02,147.35,31855.19
20220823-0000499,2023-10-08 10:17:36.205,2231.09,140.64,31501.68
